低PV_URL,低PV_タイトル,PV,統合先_slug,統合先_ブランド,統合先_タイトル,共通KW,スコア
https://m.firekids.jp/00/7265/,ヴィンテージ時計、オーバーホールをしないとどうなる？,64,425_article_cartier_overhaul,CARTIER,﻿カルティエのヴィンテージ時計、オーバーホールで知っておくべきこと,ヴィンテージ/オーバーホール,2
https://m.firekids.jp/00/3290/,【ロレックス】レディース時計の魅力的な価値と人気モデルを紹介,80,469_article_rolex_ladies,ROLEX,ヴィンテージ ロレックスのレディース、定番から珍しい1本まで,ロレックス/レディース,2
https://m.firekids.jp/00/8401/,ロレックスのボーイズサイズとは？30〜32mmの選び方と魅力,85,421_article_rolex_boys_size,ROLEX,ロレックスのボーイズサイズとは？30〜32mmの選び方と魅力,ロレックス/ボーイズサイズ,2
https://m.firekids.jp/dsc03594/,服と時計のバランスで選んだIWC『ポルトギーゼ』。20本以上試して残った1本,2,332_article_iwc_vintage_first,IWC,IWC ヴィンテージ入門｜ポルトギーゼから始める理由,ポルトギーゼ/IWC,2
https://m.firekids.jp/dsc00043/,成人祝いに贈られたオメガ『シーマスター』。人生初の腕時計は父親から,2,230_article_memomatic,OMEGA,オメガ シーマスター メモマチック Cal.980 アラーム付きダイバー,シーマスター/オメガ,2
http://m.firekids.jp/05/4136/,ヴィンテージのダイバーズウォッチ、コスパ最強モデル10選！,2,012_article_diver,LONGINES,﻿ロンジン ダイバーズウォッチ 1960-70年代ヴィンテージ,ヴィンテージ/ダイバーズウォッチ,2
https://m.firekids.jp/dsc03531/,服と時計のバランスで選んだIWC『ポルトギーゼ』。20本以上試して残った1本,2,332_article_iwc_vintage_first,IWC,IWC ヴィンテージ入門｜ポルトギーゼから始める理由,ポルトギーゼ/IWC,2
https://m.firekids.jp/credor_gccr999_a/,クレドール50周年を記念。ジェラルド・ジェンタ氏が手掛けた『クレドール ロコモティブ』が復活,2,238_article_constellation_cline,OMEGA,オメガ コンステレーション Cライン解説｜ジェラルド・ジェンタが生んだ1960〜70年代の名作,ジェラルド/ジェンタ,2
https://m.firekids.jp/00/6144/dsc00045/,成人祝いに贈られたオメガ『シーマスター』。人生初の腕時計は父親から,3,230_article_memomatic,OMEGA,オメガ シーマスター メモマチック Cal.980 アラーム付きダイバー,シーマスター/オメガ,2
https://m.firekids.jp/dsc03524/,服と時計のバランスで選んだIWC『ポルトギーゼ』。20本以上試して残った1本,3,332_article_iwc_vintage_first,IWC,IWC ヴィンテージ入門｜ポルトギーゼから始める理由,ポルトギーゼ/IWC,2
https://m.firekids.jp/dsc00065/,成人祝いに贈られたオメガ『シーマスター』。人生初の腕時計は父親から,4,230_article_memomatic,OMEGA,オメガ シーマスター メモマチック Cal.980 アラーム付きダイバー,シーマスター/オメガ,2
https://m.firekids.jp/dsc00082/,成人祝いに贈られたオメガ『シーマスター』。人生初の腕時計は父親から,4,230_article_memomatic,OMEGA,オメガ シーマスター メモマチック Cal.980 アラーム付きダイバー,シーマスター/オメガ,2
https://m.firekids.jp/credor_gccr999_g/,クレドール50周年を記念。ジェラルド・ジェンタ氏が手掛けた『クレドール ロコモティブ』が復活,4,238_article_constellation_cline,OMEGA,オメガ コンステレーション Cライン解説｜ジェラルド・ジェンタが生んだ1960〜70年代の名作,ジェラルド/ジェンタ,2
https://m.firekids.jp/00/6144/dsc00028/,成人祝いに贈られたオメガ『シーマスター』。人生初の腕時計は父親から,4,230_article_memomatic,OMEGA,オメガ シーマスター メモマチック Cal.980 アラーム付きダイバー,シーマスター/オメガ,2
https://m.firekids.jp/credor_gccr999_e/,クレドール50周年を記念。ジェラルド・ジェンタ氏が手掛けた『クレドール ロコモティブ』が復活,4,238_article_constellation_cline,OMEGA,オメガ コンステレーション Cライン解説｜ジェラルド・ジェンタが生んだ1960〜70年代の名作,ジェラルド/ジェンタ,2
https://m.firekids.jp/web-2/,クレドール50周年を記念。ジェラルド・ジェンタ氏が手掛けた『クレドール ロコモティブ』が復活,4,238_article_constellation_cline,OMEGA,オメガ コンステレーション Cライン解説｜ジェラルド・ジェンタが生んだ1960〜70年代の名作,ジェラルド/ジェンタ,2
https://m.firekids.jp/00/7970/vc26021302/,ヴァシュロン・コンスタンタン,4,401_article_vc222,VACHERON,ヴァシュロン・コンスタンタン 222とは？｜ジェンタが手がけたラグスポの隠れた名作,ヴァシュロン/コンスタンタン,2
https://m.firekids.jp/00/7970/vc26021301/,ヴァシュロン・コンスタンタン,4,401_article_vc222,VACHERON,ヴァシュロン・コンスタンタン 222とは？｜ジェンタが手がけたラグスポの隠れた名作,ヴァシュロン/コンスタンタン,2
https://m.firekids.jp/00/7958/ro26021402/,デイデイト、デイトジャスト,4,449_article_rolex_popular_ranking,ROLEX,ロレックス 人気3モデル｜エクスプローラー・デイデイト・デイトジャストの特徴,デイデイト/デイトジャスト,2
https://m.firekids.jp/dsc03558/,服と時計のバランスで選んだIWC『ポルトギーゼ』。20本以上試して残った1本,4,332_article_iwc_vintage_first,IWC,IWC ヴィンテージ入門｜ポルトギーゼから始める理由,ポルトギーゼ/IWC,2
https://m.firekids.jp/00/7888/vc26011302/,ヴァシュロン・コンスタンタン,4,401_article_vc222,VACHERON,ヴァシュロン・コンスタンタン 222とは？｜ジェンタが手がけたラグスポの隠れた名作,ヴァシュロン/コンスタンタン,2
https://m.firekids.jp/dsc03545/,服と時計のバランスで選んだIWC『ポルトギーゼ』。20本以上試して残った1本,4,332_article_iwc_vintage_first,IWC,IWC ヴィンテージ入門｜ポルトギーゼから始める理由,ポルトギーゼ/IWC,2
https://m.firekids.jp/dsc00076/,成人祝いに贈られたオメガ『シーマスター』。人生初の腕時計は父親から,4,230_article_memomatic,OMEGA,オメガ シーマスター メモマチック Cal.980 アラーム付きダイバー,シーマスター/オメガ,2
https://m.firekids.jp/dsc03554/,服と時計のバランスで選んだIWC『ポルトギーゼ』。20本以上試して残った1本,4,332_article_iwc_vintage_first,IWC,IWC ヴィンテージ入門｜ポルトギーゼから始める理由,ポルトギーゼ/IWC,2
https://m.firekids.jp/credor_original_1979_locomotive_sketch/,クレドール50周年を記念。ジェラルド・ジェンタ氏が手掛けた『クレドール ロコモティブ』が復活,4,238_article_constellation_cline,OMEGA,オメガ コンステレーション Cライン解説｜ジェラルド・ジェンタが生んだ1960〜70年代の名作,ジェラルド/ジェンタ,2
https://m.firekids.jp/dsc03564/,服と時計のバランスで選んだIWC『ポルトギーゼ』。20本以上試して残った1本,4,332_article_iwc_vintage_first,IWC,IWC ヴィンテージ入門｜ポルトギーゼから始める理由,ポルトギーゼ/IWC,2
https://m.firekids.jp/00/498/,【連載コラム：第5回ブライトリング『トップタイム』早世した友人が引き合わせてくれたブライトリングの知られざる名機　文＝名畑政治,20,069_article_top_time,BREITLING,﻿ブライトリング トップタイム Ref.810 1960年代クロノグラフ,トップタイム/ブライトリング,2
https://m.firekids.jp/00/4443/,20代にも似合うロレックス。最古のペットネームを持つ『エアキング』,24,367_article_air_king,ROLEX,ロレックス エアキング Ref.5500 Cal.1520 ヴィンテージ解説,ロレックス/エアキング,2
https://m.firekids.jp/00/268/,継承されるクロノグラフの名機、ブライトリング「ナビタイマー」,28,480_article_omega_vs_breitling_chrono,OMEGA,クロノグラフで迷ったら、オメガとブライトリングをどう比べるか,クロノグラフ/ブライトリング,2
https://m.firekids.jp/00/898/,【今月の1本】藤井 翔（副店長）柔らかなフォルムがいい味を出している1969年製のオメガ『シーマスター』。なかでも希少なクロノメーターモデルがオススメ,30,230_article_memomatic,OMEGA,オメガ シーマスター メモマチック Cal.980 アラーム付きダイバー,シーマスター/オメガ,2
https://m.firekids.jp/00/550/,【オーナーインタビュー】物語のある時計が好きなラガーマンの念願は、生まれ年のロレックス『GMT マスターⅡ』コークモデル‼︎　～ラグビー選手　津岡翔太郎（コカ・コーラ ボトラーズジャパン）,35,471_article_gmt2_16710,ROLEX,ロレックス GMTマスターII Ref.16710、長く製造された定番GMT,マスター/ロレックス,2
https://m.firekids.jp/00/6059/,特別な日のプレゼントに。カルティエなど女性向けヴィンテージ腕時計3選,36,497_article_cartier_vintage_check,CARTIER,カルティエのヴィンテージ、購入前のチェックポイント,ヴィンテージ/カルティエ,2
https://m.firekids.jp/00/8472/,ブライトリングをつけてる人のイメージは「パイロット」「ゴツい」「男くさい」？,36,415_article_breitling_image,BREITLING,﻿ブライトリングをつけてる人のイメージは？30代・40代の選択,ブライトリング/イメージ,2
https://m.firekids.jp/00/3413/,定番では終わらない魅力を持つヴィンテージロレックス4選！,38,424_article_vintage_rolex_caution,ROLEX,﻿ヴィンテージロレックスで失敗しないために。買う前に知っておくべきこと,ロレックス/ヴィンテージロレックス,2
https://m.firekids.jp/00/2548/,ユニバーサル ジュネーブ『トリコンパックス』のようなメカっぽくスポーティなモデルが欲しい～古着YouTuberゆーみん＆きうてぃ、きうてぃ編,44,392_article_polerouter,UNIVERSAL,ユニバーサル・ジュネーブ ポールルーター｜マイクロローターを世界に示したパイオニアウォッチ,ユニバーサル/ジュネーブ,2
https://m.firekids.jp/00/2524/,【30万円以下】夏のボーナスで買いたいヴィンテージ時計をチェック！,46,255_article_authenticity_check,THEME,ヴィンテージ時計 真贋チェック 初心者が見るべき7か所,ヴィンテージ/チェック,2
https://m.firekids.jp/00/2956/,【グランドセイコー】買って後悔するのは本当か？グランドセイコーの魅力,48,357_article_longines_vs_gs,LONGINES,ロンジン ヴィンテージ vs グランドセイコー 精度比較,グランドセイコー/セイコー,2
https://m.firekids.jp/00/1088/,耐久性、耐磁性を重んじてきたIWCの『インヂュニア』は堅牢で、現在もコンディションのいいモデルが揃っている,56,320_article_iwc_ingenieur,IWC,IWC インヂュニア Ref.866 Cal.854｜1960〜70年代解説,IWC/インヂュニア,2
https://m.firekids.jp/00/1009/,高い耐磁性と視認性を備えたシンプルな鉄道時計、オメガ『レイルマスター』,58,226_article_railmaster,OMEGA,﻿オメガ レイルマスター CK2914 1950年代耐磁時計解説,レイルマスター/オメガ,2
https://m.firekids.jp/00/5392/,セイコーダイバーなどTシャツに合わせたい夏のヴィンテージ腕時計4選,63,357_article_longines_vs_gs,LONGINES,ロンジン ヴィンテージ vs グランドセイコー 精度比較,ヴィンテージ/セイコー,2
https://m.firekids.jp/00/6910/,大学生のためのヴィンテージ時計入門：初めての一本を選ぶポイント,66,451_article_caseback_engraving,THEME,ヴィンテージ時計 裏蓋の刻印ガイド｜リファレンス・シリアル・素材から読み解く5つのポイント,ヴィンテージ/ポイント,2
https://m.firekids.jp/00/2294/,中西哲生が、愛用するヴィンテージロレックス、そしてIWCについて語る,66,349_article_military_watch_compare,THEME,軍用（ミリタリー）時計 IWC・ロレックス・チューダー実例比較,ロレックス/IWC,2
https://m.firekids.jp/03/8447/,カルティエの時計、男性が選ぶならどれ？ヴィンテージという選択肢,66,497_article_cartier_vintage_check,CARTIER,カルティエのヴィンテージ、購入前のチェックポイント,ヴィンテージ/カルティエ,2
https://m.firekids.jp/00/6784/,30代が持っていて恥ずかしくないヴィンテージ時計のブランド5選,68,447_article_japanese_brands,THEME,世界に愛される日本の腕時計ブランド5選｜ヴィンテージで知る国産時計の魅力,ヴィンテージ/ブランド,2
https://m.firekids.jp/00/2907/,ドレスなデイトジャストからより自由なエクスプローラー２へ,68,464_article_dj_vs_explorer,ROLEX,デイトジャストとエクスプローラー、シーンで選ぶならどっち,エクスプローラー/デイトジャスト,2
https://m.firekids.jp/00/7201/,王道ブランドが並ぶ、夏に着けたい“旬”のヴィンテージ時計3選,68,447_article_japanese_brands,THEME,世界に愛される日本の腕時計ブランド5選｜ヴィンテージで知る国産時計の魅力,ヴィンテージ/ブランド,2
https://m.firekids.jp/00/2992/,ロレックスらしくない？金無垢なのに薄いレア度MAXな『オイスターパーペチュアルデイト』,69,056_article_oysterdate_vs_op,ROLEX,﻿オイスターデイト vs オイスターパーペチュアルデイト｜ロレックスの似て非なる2モデル,ロレックス/オイスターパーペチュアルデイト,2
https://m.firekids.jp/00/5492/,パテックフィリップを定価で買う方法はある？,83,510_article_patek_value,OTHER,パテックフィリップ、最高峰の値段の理由,パテック/パテックフィリップ,2
https://m.firekids.jp/00/276/,知名度が高く、高いコストパフォーマンスが魅力のオメガ『シーマスター』,84,230_article_memomatic,OMEGA,オメガ シーマスター メモマチック Cal.980 アラーム付きダイバー,シーマスター/オメガ,2
https://m.firekids.jp/00/3133/,スピードマスターとコンステレーション、オメガ2本使いのカリスマ美容師,88,232_article_speedmaster_early,OMEGA,オメガ スピードマスター 初期4世代の変遷｜CK2915からST145.012まで,オメガ/スピードマスター,2
https://m.firekids.jp/00/4274/,ヴィンテージロレックスの定番中の定番、ロレックス サブマリーナー Ref.5513を語る,88,424_article_vintage_rolex_caution,ROLEX,﻿ヴィンテージロレックスで失敗しないために。買う前に知っておくべきこと,ロレックス/ヴィンテージロレックス,2
https://m.firekids.jp/00/3070/,【ヴィンテージ時計】時を彩るシチズンのクロノグラフ持つの魅力,91,521_article_citizen_intro,CITIZEN,シチズンのヴィンテージ、知る人ぞ知る入門ガイド,ヴィンテージ/シチズン,2
https://m.firekids.jp/00/5797/,マニア向け？　ムーブメントで選ぶ上質なヴィンテージ腕時計2選,91,351_article_cartier_movement,CARTIER,カルティエ ヴィンテージ ムーブメント ETA搭載の歴史,ヴィンテージ/ムーブメント,2
https://m.firekids.jp/37/2879/,オメガ創業百周年記念の自動巻きクロノメーター、オメガ『センテナリー』,92,239_article_constellation_chrono,OMEGA,オメガ コンステレーション クロノメーターの証「天文台」マーク｜裏蓋メダリオンと精度認定の意味,クロノメーター/オメガ,2
https://m.firekids.jp/00/7856/,ブライトリング トップタイムが再注目される理由,94,069_article_top_time,BREITLING,﻿ブライトリング トップタイム Ref.810 1960年代クロノグラフ,トップタイム/ブライトリング,2
https://m.firekids.jp/00/1975/,【IWCオーナーが語る】一本で仕事から日常まで網羅する完璧クロノグラフ,96,247_article_da_vinci,IWC,IWC ダ・ヴィンチ Ref.3728 1980年代クロノグラフ解説,クロノグラフ/IWC,2
https://m.firekids.jp/00/6600/,クリント・イーストウッド、ダスティン・ホフマン、ブラッド・ピットも愛用するロレックス『GMTマスター』,100,471_article_gmt2_16710,ROLEX,ロレックス GMTマスターII Ref.16710、長く製造された定番GMT,マスター/ロレックス,2
https://m.firekids.jp/00/7039/,ロレックス『オイスターパーペチュアル』はヴァラエティに富んだ時計だ！,100,393_article_op_nodate,ROLEX,﻿ロレックス オイスターパーペチュアル Ref.1002・オイスターデイト Ref.6694 解説,ロレックス/オイスターパーペチュアル,2
