シート	タイトル	意図	読後感	KW	参考URL1	参考URL2	本文行数
259月コンテ_shorts(904)	ロレックス買うならどっち？				https://www.youtube.com/shorts/gGqGdvlQnjY		2
259月コンテ_Long(905)	［年代別］最初に買いたい時計4選【ロレックス編】時計名/時計名	過去コンテンツ短期間（1-3ヶ月）のうち、一定の視聴伸びが得られていることから動画構成の見直しにより改善を狙う 立ち位置がファシリテーターが進行、紹介を交える構図だと初見視聴者は立ち位置が不明瞭な印象		吉田様/宮崎様/岩本様	https://www.youtube.com/watch?v=TTRzNpHbDko	https://www.youtube.com/watch?v=nohimmuFVb0	13
259月コンテ_Long(908) 	【査定エピソード】あなたの腕時計査定します！	既存、新規視聴者も気になる要素として、購入済みもしくは時計を持っている人が何を理由に査定に来るか？ 当初の予測していた金額感と、ファイアーキッズが査定したときのギャップ（時計の状態等）を比べる点に興味			https://www.youtube.com/watch?v=yBMjef6aMVs		8
259月コンテ_shorts(911) 	腕時計買うならどっち？				https://www.youtube.com/shorts/gGqGdvlQnjY		2
259月コンテ_Long(922)	【xx代向け】昇進・昇格したら身につけたい”ビジネスマン向け”ヴィンテージ腕時計x選	昇進・昇格を迎える年代向けに、スーツに映えるヴィンテージ時計を紹介。節目の自己投資としての意義を強調し、ビジネスマン層の共感と購買意欲を高める。			https://youtu.be/KfST4y9AGUE?si=xMcvHTeBa8v24xxE		7
259月コンテ_shorts(923)	今後値段が上がるかもしれない時計3選				https://youtube.com/shorts/IWgJMBMm5FQ?si=kvFA5ogNNFSn-fWt	https://m.firekids.jp/00/5285/	2
259月コンテ_Long(919)	実は世界の時計ファンに愛されている国産腕時計メーカー/ブランド/シリーズx選	知る人ぞ知る国産ブランドやシリーズを取り上げ、その歴史や評価ポイントを紹介。海外市場での人気実態を示すことで、国産時計の新たな価値に気づかせる企画。			https://youtube.com/shorts/uzFD8Eh6spw?si=GMZ6WPs1rE7ZxY4m		7
259月コンテ_Long(925)	映画に出てきた有名なヴィンテージ時計5選	映画に登場した印象的なヴィンテージ時計を取り上げ、作品との関わりやモデルの背景を解説。物語性を通じて未認知層へリーチし、時計の文化的価値を広く伝える企画。			https://youtu.be/cZ34-9DbZk0?si=GvlWC1kk8t89X4Jw		7
259月コンテ_Long(926)	2025年上半期ロレックス人気ランキング【ファイアーキッズオリジナル】	売上の詳細まで触れずとも、販売個数を元にブランド名縛りで商品をランキングで紹介。					7
259月コンテ_shorts(930)	10万円台で買えるヴィンテージ時計3選				https://www.youtube.com/shorts/o4USmG0pQAo	https://m.firekids.jp/39/303/	2
259月コンテ_shorts(102)	低予算で買えるヴィンテージ時計ありますか!?				https://youtube.com/shorts/9Bv5z-v6lsU?si=WBRE1zKv4-tM6JD2	https://m.firekids.jp/00/1807/	2
259月コンテ_shorts(109)	愛用してるなら答えられるよね？				https://youtube.com/shorts/or872p36HSo?si=wbwETKZwQB_50fsA		2
2510月コンテ_shorts(1016)	キムタクになれる腕時計！？				https://m.firekids.jp/00/2053/		2
2510月コンテ_shorts(1027) 	アンティーク時計アキネイター				https://www.youtube.com/shorts/TcG_l3AyZm4		2
2511月コンテ_shorts(116) 	壊れた時計…さすがに買い取れない？				https://m.firekids.jp/00/7510/		2
2511月コンテ_shorts(1113)	菅田将暉さんになる方法!?【ヴィンテージ時計】				https://m.firekids.jp/00/2053/		2
2511月コンテ_shorts(1120)	時計買うなら横浜来てください！				https://www.youtube.com/shorts/GkyCQDca7Tc		2
2511月コンテ_shorts(1127) 	彼氏につけてほしい時計どっち!?				https://youtube.com/shorts/pqiA95ZoZnw		2
2512月コンテ_shorts(124)	人生で一本しか時計が持てないとしたら？				https://youtube.com/shorts/aD-YQX-mQTc?si=Ff__Nq0UNQvUsI7E		1
2512月コンテ_shorts(1211)	腕時計で究極の2択！				https://youtube.com/shorts/jvUonYKkCm4?si=pIZgJUVZAEp_HBgn		2
2512月コンテ_shorts(1225)	男はカルティエNG!?				https://m.firekids.jp/00/7593/		2
251月コンテ_shorts(15)	新社会人に贈りたい腕時計3選！				https://m.firekids.jp/00/7709/		2
251月コンテ_shorts(112)	腕時計ロゴクイズ！				https://www.tiktok.com/@mainc_official/video/7530928788595576082?is_from_webapp=1&sender_device=pc		2
(※出演者用)251月コンテ_shorts(112)	カタカナ使わず時計ブランドを伝えて！				https://youtube.com/shorts/10y_8hOdSOI?si=JLB6Lzb5NViBrxQz		2
251月コンテ_shorts(116) ノベルティ2本	FIRE KIDSのトートバッグが貰えるキャンペーン！				https://youtube.com/shorts/C3Zw2iFIjcY?si=r8N8u3cY0ZF3Cn_E		2
251月コンテ_shorts(119)	目隠しして腕時計を当てろ！				https://www.tiktok.com/@loveluxury.com/video/7160729108341705989?is_from_webapp=1&sender_device=pc		2
251月コンテ_shorts(122)	ノンバーバル						7
251月コンテ_shorts(126)	ロレックス買うならこれ気を付けて！				https://m.firekids.jp/00/7896/		2
252月コンテ_shorts(22)	映画に登場した腕時計3選				https://m.firekids.jp/00/7645/		2
252月コンテ_shorts(29)※3本分台本ストックあり	【年代別】このSEIKOは絶対持ちたい！				https://youtube.com/shorts/OR13mHvHAXE		2
252月コンテ_shorts(217)	【破格】〇〇円でヴィンテージ時計が買えた…！				https://youtube.com/shorts/1wQOJENYUco?si=akdAWSPdpx3Zkl1n		2
252月コンテ_shorts(223)	好きな腕時計ブランドトーナメント！				好きな高級時計ブランド⌚️ - YouTube		2
253月コンテ_shorts(32)	【年代別】このSEIKOは絶対持ちたい！				https://youtube.com/shorts/OR13mHvHAXE?si=2d5rxR5Ld7R6jZSf		2
253月コンテ_shorts(310)	スマホあるのに腕時計いります！？				https://youtube.com/shorts/73jkHvE6GPg?si=8NNeKa6tiNqIE9UH		2
253月-コンテ_shorts(江頭さんコラボ)	【緊急】江頭2:50がファイアーキッズにご来店！				https://www.youtube.com/watch?v=0fx0m2LSl6M		2
253月コンテ_shorts(316)	制裁を受けた理由がヤバすぎた…【腕時計】				https://www.tiktok.com/@yaduki1/video/7572799231128276242?is_from_webapp=1&sender_device=pc		2
253月コンテ_shorts(322)	国産の腕時計も良いよ！				https://youtube.com/shorts/QnyN-hJoEw4?si=FVo9t3F7XW3bkWT6		2
254月コンテ_shorts(414)	時計マニアの絶望シーン3選				https://youtube.com/shorts/VUcPGTDMaq8?si=oKxOMFihGy4WlJ14		2
2510月コンテ_Long(1017)	え？これROLEXなの！？2選 ROLEXっぽくない...だけど良い...。さりげなく忍ばせてキラリと光る、変わりダネROLEX紹介	一般的なイメージから外れた意外性のあるロレックスモデルを紹介し、その独自の魅力や評価される理由を解説。派手さを避けつつ個性を楽しみたい人に向け、さりげなく光る選択肢としての価値を伝える。					7
Bar企画	2025年上半期ロレックス人気ランキング【ファイアーキッズオリジナル】	売上の詳細まで触れずとも、販売個数を元にブランド名縛りで商品をランキングで紹介。					7
2510月コンテ_Long(1020)	ROLEXが人気なのって日本だけ...?世界の中で突出して日本で絶大的な支持を得ている理由	世界的に人気を誇るロレックスの中でも、日本市場で特に強い支持を集める背景を解説。消費者の価値観や文化的傾向を整理し、なぜ日本で突出した人気を築いているのかを理解できる内容にする。					7
2510月コンテ_Long(1021)	あなたはどのブランドの哲学が好み？見た目ではなく中身から入る腕時計選び	腕時計をデザイン重視ではなく、ブランドが掲げる哲学やものづくりの思想から選ぶ視点を提案。背景にある価値観を知ることで、所有する意義や共感度が高まり、より納得感ある選び方の参考になる内容にする。					7
2510月コンテ_Long(1023)	日本が腕時計中古市場において天国と呼ばれる理由 日本が世界のヴィンテージ腕時計ファンから大絶賛される理由	世界のヴィンテージ時計ファンから日本が高く評価される要因を解説。 豊富な在庫や保存状態の良さ、取引の安心感といった特徴を語り、日本でヴィンテージ腕時計を買えることの優位性や（海外から見た相対的な）魅力					9
2510月コンテ_Long(1025)	FIRE KIDS30周年記念イベント@中野店（イベントの様子紹介）						5
2510月コンテ_Long(1031)	【二十歳のお祝い】プレゼント選びの参考に！新生活や大学生活+新社会人でも使える万能なおすすめ腕時計を紹介！	成人や新生活を迎える節目に、自分や家族への記念として「生まれ年の時計」を提案。年代の味わいと実用性を兼ね備えたモデルを紹介し、大学生活から社会人まで長く使える一本を選ぶ参考情報として訴求する。					7
2511月コンテ_Long(117)	【希少価値上昇中】綺麗な個体が激減中…美品が市場から消えつつある今チェックすべきヴィンテージ時計	近年コンディションの良い個体が急速に減少しているヴィンテージ時計をピックアップ。美品が市場から姿を消しつつある背景や、今注目すべきモデルの傾向を整理し、将来の入手難を見据えた参考情報として紹介する。					6
2510月コンテ_Long(1114)	【穴場ブランド】時計屋さんが密かに注目している“これから化ける”ヴィンテージブランド	知名度こそ高くないものの、時計専門店のスタッフが密かに注目する“次に来る”ヴィンテージブランドを特集。デザイン性や機構、当時の背景から見るポテンシャルを分析し、今のうちに知っておきたい隠れた名ブランド					7
2511月コンテ_Long(1117)	【ロレックスデイトジャストを特集】	市場でも出回りが少ない希少なカラー文字盤を持つヴィンテージウォッチを厳選紹介。生産数や経年変化による一点物の魅力に焦点を当て、コレクターや上級者が注目する“色の個性”が生む価値と楽しみ方を掘り下げる。					7
2511月コンテ_Long(1118)	ファッションアイコンが火付け役！ほぼ全員が“この人を見て買った”と言われる伝説のモデルx選	著名なファッションアイコンが愛用したことで人気に火がついた、伝説的なヴィンテージウォッチを特集。時代を超えて影響を与え続けるスタイルの背景や選ばれた理由を紐解き、ファッションと時計の密接な関係を楽しめ					7
2511月コンテ_Long(1127)	*蒸留所コンテンツ						4
2511月コンテ_Long(1128)	【時計遍歴】私はこうしてヴィンテージ時計沼にハマりました	ヴィンテージ時計にハマったキッカケを語っていただき、ヴィンテージ時計好き視聴者からあるある/共感を呼び起こしエンゲージUPを目指す。					7
2512月コンテ_Long(121)	【大後悔】あの時買っておけばよかった時計エピソード	当時は相場や希少性の背景を深く理解できず見送ったモデルを振り返り、語り合う企画。 視聴者が自身の検討時に活かせる参考情報として、後悔を防ぐ学びを提供する。					4
2512月コンテ_Long(129)	（芦野さま回）原点にして頂点？値段じゃない！ヴィンテージ好きが最後まで持っておきたい1本	高額さではなく“愛着と存在感”で選ばれる一本を紹介。所有者の共感を呼び、長く使う魅力や文化的価値を伝えることで、時計趣味の本質を深掘りする企画とする。					6
2512月コンテ_Long(1210)	【密着】ブルーサンタクロースの舞台裏にいってみた						6
2512月コンテ_Long(1212)	【大後悔】あの時買っておけばよかった時計エピソード	当時は相場や希少性の背景を深く理解できず見送ったモデルを振り返り、語り合う企画。 視聴者が自身の検討時に活かせる参考情報として、後悔を防ぐ学びを提供する。					4
2512月コンテ_Long(1218)	（新海さま回）原点にして頂点？値段じゃない！ヴィンテージ好きが最後まで持っておきたい1本	高額さではなく“愛着と存在感”で選ばれる一本を紹介。所有者の共感を呼び、長く使う魅力や文化的価値を伝えることで、時計趣味の本質を深掘りする企画とする。					6
2512月コンテ_Long(1219)	（小倉さま回）【時計遍歴】私はこうしてヴィンテージ時計沼にハマりました	ヴィンテージ時計にハマったキッカケを語っていただき、ヴィンテージ時計好き視聴者からあるある/共感を呼び起こしエンゲージUPを目指す。					7
2512月コンテ_Long(1214)	【密着】ブレイキングダウン18の舞台裏にいってみた						9
2512月コンテ_Long(1226)	怪しい"野良時計"の失敗エピソード 時計購入で失敗した話						4
261月コンテ_Long(19)	（西川さま回）【時計遍歴】私はこうしてヴィンテージ時計沼にハマりました	ヴィンテージ時計にハマったキッカケを語っていただき、ヴィンテージ時計好き視聴者からあるある/共感を呼び起こしエンゲージUPを目指す。					7
261月コンテ_Long(115)	OMEGA歴xx年がOMEGA歴xx年におすすめしたい1本						5
261月コンテ_Long(116)	“腕時計を買う時に悩んだ・迷った2択”ありますか？ → あの時、AとBで迷った…。あれからxx年......どっちを買って正解だった？						5
261月コンテ_Long(122)	（藤井さま回）【時計遍歴】私はこうしてヴィンテージ時計沼にハマりました	ヴィンテージ時計にハマったキッカケを語っていただき、ヴィンテージ時計好き視聴者からあるある/共感を呼び起こしエンゲージUPを目指す。					8
261月コンテ_Long(123)	腕時計を買う時に悩んだ・迷った究極の2択 →持ってないけど、ギリギリまで買うかどうか本当に迷った1本 → あの時、AとBで迷った…。あれからxx年......どっちを買って正解だった？						5
261月コンテ_Long(130)	（木村さま回）【時計遍歴】私はこうしてヴィンテージ時計沼にハマりました	ヴィンテージ時計にハマったキッカケを語っていただき、ヴィンテージ時計好き視聴者からあるある/共感を呼び起こしエンゲージUPを目指す。					8
262月コンテ_Long(210)	雲上ブランドの"凄さ"って何なんですか？時計の中身を知り尽くした"時計修理の先生"に聞いてみた！	雲上ブランドについて、「高い」「すごい」「別格」と言われがちだけど、 "結局なにがどう凄いのか分からない問題"を、 実際に中身を見続けてきた"時計修理の先生”に真正面から聞くトーク企画。					5
262月コンテ_Long(212)	他のモデルはピンとこないけど、「これだけは良い！」と思ったモデル/ブランド	あまり手に取ることがないブランドにも関わらず、ピンポイントで琴線に触れたモデルについて深掘り/トークする企画。 出演者の趣向の偏りの面白さと、そのモデルが持つ特徴やブランドからはみ出ているポイントを語					5
262月コンテ_Long(216)	（松井さま回）【時計遍歴】私はこうしてヴィンテージ時計沼にハマりました	ヴィンテージ時計にハマったキッカケを語っていただき、ヴィンテージ時計好き視聴者からあるある/共感を呼び起こしエンゲージUPを目指す。					8
262月コンテ_Long(220)	他人が着けてるとカッコイイのに自分が着けるとなんかイマイチな時計	街や店頭、SNSなどで見て「うわ、これカッコいいな」と思ったのに、いざ自分で着けてみると「あれ…思ってたのと違う」となった時計を語るトーク企画。					5
262月コンテ_Long(226)	【カラー文字盤同好会】服に合わない、でも愛おしい...“扱いが難しい色”の時計を語る会	一目惚れで買ったものの、いざ日常で使おうとすると「今日の服、これ合う？」と毎回悩ませてくるカラー文字盤の時計を語るトーク企画。 色・ファッション・季節・気分との関係を含めて、“難しいけど好き”という矛					5
262月コンテ_Long(227)	ブランドの序列がひっくり返った伝説の1本	一般的には「このブランドは上／こっちは下」「格・知名度・価格帯で見ると明らか」…とされていた序列が、たった1本のモデルによって揺らいだ、もしくは逆転した瞬間を語る企画。 「だから面白い」「だから時計は					5
263月コンテ_Long(313)	ファッションは20~30年で一周する？ 今はまだ評価されていないけど、将来（20年後・30年後に）来るかもしれない1本	今の市場ではそこまで話題になっていない。 価格も安定、SNSでもそこまでバズっていない。 でも、普段からたくさんの時計に触れている側からすると「これ、ちょっと違うぞ？」「これは系統的に将来来きそう..					6
263月コンテ_Long(319)	時代が追いついた時計	発売当時は「ちょっと早すぎた」「中途半端」「地味」と言われたのに、 今のトレンドや価値観の変化によって 急にしっくり来るようになった1本を語るトーク企画。					6
263月コンテ_Long(326)	ブランドの黒歴史と思われてた名作						6
263月コンテ_Long(326)後ほど使用	ブランドの黒歴史と思われてた名作						6
263月コンテ_Long(328)	不遇な時計？発売当時は評価されなかった伝説の1本						6
264月コンテ_Long(49)	この1本が売り物になるまで｜ヴィンテージ時計の修理・商品化の様子に密着	本社工房の様子が既存視聴者にとって、 よりコアな情報として受け入れられやすいと推測されるため、 実際に仕入れたヴィンテージ時計を、商品化するまでにどのようなことを行程として行うか動画化する					10
26305月コンテ_イベントレポ(305)	中野ブロードウェイ店リニューアル・プレオーブンイベントレポ						5
26305月コンテ_イベント台本(305)	【第三部】ヴィンテージ時計の深淵を覗く！ディープな時計の世界トークセッション						0
263月コンテ_宮迫さん&青木さんコラボ(330)	【宮迫さんガチ推し】中野店の世界観を徹底レビュー！青木さん見解は？						0
263月コンテ_Long(320BD19)	【密着】ブレイキングダウン19の舞台裏にいってみた						12
264月コンテ_入社式(401)	【入社式潜入】スペシャルゲストも激励！FIREKIDSの新たなメンバーが登場。						0
